title,up_name,bvid
失去性格，失去一切,彭海涛_Peng_Haitao,BV1B5PjeGEWm
写大词，你的文案就废了,就是白老怪,BV16wP5ekE4A
ADHD卡住了怎么办aka启动困难,Vivi的ADHD日记,BV153yeY6EtY
高级智慧,社长领袖心学,BV1GY9wYqEP1
【修复大脑】90天戒断色情成瘾完全指南！1小时即可开始修复大脑专注力！ 中英字幕 1080P,硬派心学,BV1G7PYeLEKG
教你快速判断有毒的关系，并体面的及时止损！（有些人不值得你付出）｜ 约会专家 Matthew Hussey 中英字幕 1080P,硬派心学,BV1npAtekEw3
【世界顶级励志演讲】我不想烂在人堆里,-动力火炬-,BV1geyJYtEVx
年轻人的情感困境：孤独、无爱、抑郁的真正原因。油管心理治愈专家 畅销书作者 ——Alain De Botton 中英字幕 1080p,硬派心学,BV1drNceaEKQ
建立运动习惯提升运动兴趣,哆戛酱_本人唯一账号,BV1nQAGeqE5Q
一个能让你的人生产生质变的方法：「早睡」,认知进化的Vivian,BV1oiPLeMEEY
这六个沟通习惯让别人轻易把你摆在【社交低位】！（赶快避免）掌控魅力系列 油管300万播放 中英字幕 1080p,硬派心学,BV1jUPyeXEn8
顶级行为专家_如何用 5 个步骤对任何人进行洗脑,油管甄选纪录,BV1i6NceAExR
自信,王凌雁,BV1vzAae7EUt
70% 问题 - 关于 AI 辅助编码的残酷真相,wharton0,BV1o1P9e1EFu
给25岁的你们，改命建议，少走20年弯路,EMBA腹肌女超人,BV1qpKceBEsg
【心理成长】在2025年彻底戒掉你的“弱者感”！——乔丹·彼得森 中英字幕 1080p,硬派心学,BV1nArSYJE9D
强烈建议多看几遍，这一天你将充满勇气,道破俗尘,BV1vwNZexEon
心理学警告：永远别质疑当初的判断,Yourone精选,BV18YAWeJEEY
越努力越痛苦？奋斗教育没告诉你的,盈满晨光出发吧,BV1guP7evEdx
先把草台班子搭起来！一小时带你重新理解创业,进击的沈帅波,BV1DMNGe9Eg1
金钱的非线性｜我不建议你省钱的三个理由｜关于体验｜关于储蓄率｜关于财务自由,二小姐_Rachel,BV1F9RPYREJz
怎样用24小时开发一款AI应用（一）：开篇词,傻瓜学AI,BV1wqUiYNEmT
DeepSeek R1推理能力迁移到视觉领域！开源VLM-R1：实现多模态图像识别能力的新突破！,AI-GitHub,BV1f8PLeGEo3
想避免重蹈覆辙，就尝试把自己设计成角色吧,西一昂叨叨版,BV1YFPieWEV8
男性沉默困境（为什么越孤独，越沉默）,奇幻日,BV1bZRTYUEbT
认识自己的无能，是卸下包袱的机会！,甜老师在笑,BV1JgRwYjE7U
果然电影还是拍的太保守了！,漂泊Poker,BV1h7PYeLExc
这个世界上，认真生活的人，根本就没几个,Larry想做技术大佬,BV1kQNme3EYv
罗伯特·清崎：学会这些道理后，你将发现致富其实非常简单！《富爸爸穷爸爸》,复利的奇迹基金理财,BV1AoK5eXET4
知识就是力量，或将成为一个传说,复旦赵斌,BV1t1PpeLEBB
OKR和KPI谁更好用？2025工作计划如何制定？,夏鹏本鹏,BV1uBNBeFECe
至少在大学里，努力确实会有回报～,正儿八经的陈老师,BV18oAseQEXS
00后亿万富翁ImanGadzhi:如何在 2025 年创立个人品牌（分步指南）,YoungMillionair,BV1FXPje7EzQ
我非常认同王兴兴讲的，大学教育落后,郑在胡说八道,BV1sdADeEEie
高级秘书怎么用一个杯子暗示领导意图,峰video,BV1xYP5eHEHQ
思维链要被淘汰了？全新Chain of Draft解析！,AI信息差-vanch,BV1JZ9FYkEFs
投那些需要“灵性”的岗位（无技术背景,冰块自由_,BV1HkP5eLEmb
Claude3.7非常强，我却陷入了焦虑...,数字黑魔法,BV1HBPGegEwm
佛与脑科学教你：重新理解意识，疯狂但有用,彭春花本人,BV1i5NneQEEa
我注册了海外一人公司，跑通了全球收付款！（实操分享）,Chestnut栗子_,BV1P1wSeVEG8
2016年诺贝尔奖，教会你如何开启身体“自动减脂”模式。,硬核科普-,BV1WmXUYSEsp
[新模型评测]Tiny R1 32B - 超级蒸馏 - 仅用5%的参数实现接近R1的性能,攒钱换房车的福叔,BV1pRXXYhEU2
"你是否陷入了""教程陷阱""?",一摩尔炸鸡翅,BV1zB9vYGE18
〖老蒋巨靠谱〗：如何剪除自己的思想钢印与枷锁，老蒋分享自己24岁时的觉醒时刻,kdrant35,BV17G9zY2E5C
现在学生眼神为什么越来越空洞，思想越来越麻木,老魏谝物理,BV1PgN4eSEc5
deepseek不繁忙指南，附赠各行业接入时间线，欢迎补充，持续更新！,量子位,BV19MAoeyEuR
每天复述5分钟，嘴巴越来越厉害！,小朱练表达,BV1yYKVeJEcK
在人人吹牛的时代，如何真正找好人生主线？硬核心理学，帮你找回对未来的笃定！,本子在隔壁,BV15wPSe8EKR
女人，你敢在自己的男人身上下注吗？,Larry想做技术大佬,BV1ogAKe3Ewr
为什么说工作中要学会摸鱼？一个视频教你把摸鱼摸明白！,夏鹏本鹏,BV1amPMemEfy
（244）叔本华：智者为何不在意社交,YouTube深度访谈,BV1FzXQYXE5N
科学证明的最佳学习方法！——安德鲁·休伯曼【中英双语】,认知灯塔CogniLight,BV1AQAAe2E6Y
不把过程当回事才是能坚持的关键,西一昂叨叨版,BV1D69VYhE1L
【大脑去性化】30戒撸天完全指南 | 你能坚持完成吗？ 中英字幕 1080P,硬派心学,BV1bf9gYQEgV
他的网站，定义了何为纯粹的前端交互？,JIEJOE_轻敲代码,BV1BTP5euE75
【Cursor设计师2.0】 Cursor 让普通人也能轻松设计一套 APP 精美 UI,是魔王哒-流光卡片,BV1ueXZYnEQX
AMD笔记本 Excel一键DeepSeek AI助手，保姆教程,AI十倍速,BV12z9uY1ENS
解码 DeepSeek：藏在论文里的人才画像【晚点LatePost】,晚点LatePost,BV1m29VY4EhK
清华学霸觉得世界就是草台班子,暴叔讲升学规划,BV1Dzsre9E9w
【斯坦福老师】没有人爱！真的无所谓吗？,Ling林轶凌,BV12W9vYQERq
【中英+文稿】如何管理你的所有兴趣，并获得真正的成果,超级个体之路,BV1bP9iYsE7N
多大数学博士告诉你为什么纯阅读效率远远高于默读？,有点烦的不不-,BV1km9uYgEax
原来这才是有些人成长飞快的原因！！,小姜又辞职了,BV1f593Y6EXv
如果你心怀壮志却懒散成性，不妨看看这个视频。,油管甄选纪录,BV1utNaekEfD
第一次拜访贵人，怎么说话和表现，才能不得罪人？,行长王德发,BV1xKPeerE82
减重心理师：「管住嘴，迈开腿」终究会失控｜【初日会客室】苏琮祺 心理师,COFIT-我的专属营养师,BV1VnKKeLEQF
如何对抗人生虚无：你消费够了，开始创作吧 | ConnorWoodman,KattyPsychology,BV1dK9cYKEqT
突然悟到一个无敌牛的成长心态：不要反反复复重新进入一件旧事,小姜又辞职了,BV1LuPcehEeN
【文献速递】新知89 大脑也能“返老还童”~糖萼安保 值得信赖,生命中国,BV1JdXUY5EYr
【TED科普】怎样才能拥有女朋友？,Youtube学习官方,BV12uN6eoEGo
【中英+文稿】我学会了一种清晰表达的系统 | Joseph Tsar,无限进化思维,BV1bSXRYkEjT
[独家]雷军30年前写的程序，我给运行起来了,边亮_网络安全,BV1Pm9FYJE3M
毒害年轻人的错误认知有哪些？【围炉夜话·认知1】,智能路障,BV1V3AmeQEEV
【中英+文稿】深度思考者的悲哀真相 | 乔丹·彼得森分享,无限进化思维,BV1SEwXetE2S
建议不要在晚上做重大决策,菜鸟混职场_,BV1cQAde4Ei4
身弱之人如何变强？现在年轻人的身体，属于残血状态,东山之狼-天涯隐学,BV1Mc93YnE4Z
不会摆姿势，表情管理差？试试这种拍照方法！,李肥星,BV1g2NherEct
【刻平小招】后刃倒滑极致版，这练会了可不得帅炸了嘛❗️超多细节❗️,极刻滑行_CarvinGeek,BV19ENueJEvZ
用DeepSeek网站爬虫，数据获取零成本！,AI信息差-vanch,BV1EKNaeoEXy
父母现在就让孩子用AI学习？还没到时候呢！,真心爸妈家庭教育,BV1U59hYGEGW
少接触闲人，集中精力去做自己应该做的事情，聚焦一处，定会突破,得道之路就在其中,BV1cn9VYLEjw
逆向音乐可视化：Ableton Live中的视觉、交互与生物数据动态音乐生成,羽終00Terminal,BV1FdNVerEAm
为什么有些技能你练到死也学不会？答案在大脑里！,无限理论派,BV1FfPaetE8J
TheoremExplainAgent：AI数理化老师，可生成10分钟教学视频给学生讲解数学、物理、化学、计算机科学，双智能体结构，双智能体：一个备课一个生视频,AIGCLINK,BV1Lg9AYGEib
“要经历多少，才能明白这些话的意义？”,wrizedm,BV1bDAnegEyN
【直播切片】这两年为什么不要吃巧克力,理论派甜点师小鱼,BV1iwAmeZEEq
细节到位，平价也能很显贵,十一讲服装,BV1559tY1Eoe
1个贵人，顶10年死磕，千万警惕贵人绝缘体！！！,行长王德发,BV1aLKsehEBW
一键启动：deepseek AI代理的自动化工作流程,AI信息差-vanch,BV1JmAJeWEr6
权力是被想象出来的！权力不是被赋予的，是一种气质！获得权力需要投射恐惧，为什么老板不易与员工做朋友？就是这个理！,听老戎唠唠嗑,BV1DxF2erE9B
不移动眼珠地去看，因为当你移动眼珠时，大脑的一切就开始了。而如果你能不移动眼珠，使大脑变得安静下来，再去环顾四周，那么一切就尽收眼底了。试试看，观察你的内外在。,只携爱前行,BV19oPxeeE9a
"【AI重大突破】杨立昆预言成真！新模型""潜空间运算""让AI学会三思后行，实现人类级顿悟式思考。",星漫AI,BV1dEAYeSEpA
内推骗局：70%的内推都是无效的 真正有用的方法不在网上,Melissa职业规划,BV1cwPvePEtV
精神层次越高的人对感情越专一，因为善于处理自己内心欲望，因而不会把类似找备胎、和谁玩、玩过谁，这种肤浅的价值观当作得意的谈资。,罗老师哲学人生,BV1ZC2ZYQEdA
一眼显贵的衣服，就这么挑！,十一讲服装,BV1F4PLeLELX
Cursor + MCP = 王炸！彻底颠覆我的Cursor工作流，效率直接起飞,御风大世界,BV1eYPpeWEnT
穷人家长大的小孩，总有种“想赢”的执念,小小段砸,BV1EPXQY2Eq6
本地部署最强OCR大模型olmOCR！支持结构化精准提取复杂PDF文件内容！完美识别中英文文档、模糊扫描件与复杂表格！本地部署与实际测试全过程！医疗法律行业必备,AI超元域,BV1gPXXYiETE
“后来才发现，原来这些话竟然这么讽刺！”,辩论社-,BV1HCP5eyE1B
5个大学生必备的高收入技能🚀提升个人市场价值，趁早实现经济独立,AliAbdaal,BV11t9AYfErH
（转载）我们的教育弄虚作假，到底是为了什么？,bootes空洞,BV1wj41127C9
多年以后，我才明白中式教育到底是怎么毁掉一个人的【抵抗与创造】,抵抗与创造,BV14FBvY5EDz
"很多时候，我们不是想要发展关系，而是想要通过关系确认“我是好的”""我可以被喜欢""",润风心理成长,BV1gNPLe8Emo
一个很变态的向上社交偏方（自用，从未失败,园姐-fightingmom,BV1HPp3eJEHs
（中英对照）性和自信有什么关系？世界顶级性治疗师告诉你如何借此提升自我价值【EmpowerHer vol.94】,LetsEmpowerHer,BV1dUF6eaEcs
【中英+文稿】醒来工作1分钟将改变你的生活 | 如何利用神经科学让你的早晨更高效 | Rian Doris,超级个体之路,BV1NwNoeqEG5
要远离比你闲的人【刘墉】,刘墉,BV1LuPvebE2t
朋友是阶段性的，互相享受不要互相捆绑！,甜老师在笑,BV1gHXQYNE7Q
【中英双语】成功的作弊密码——多巴胺戒断,WithEric,BV16a1VYtEeS
AI学习法：Deep Research + Cursor + Obsidian,黄益贺,BV1bgPKeNEYC
当一个人不再去证明爱才能体验到爱,西一昂叨叨版,BV1EBKneFEXU
大脑“时间轴”色情恢复的具体几个阶段！——Dr. Trish Leigh【中英字幕】,Free-thinker,BV1amyzYJE2P
成长之路:杀死你的内疚与羞愧——Dr. Becky Kennedy,改悟Donat,BV1oAF6eAEhG
【阅读技巧】如何更快阅读、记住更多，还能真正用上？——油管男性成长博主Mark Manson 中英字幕 1080p,硬派心学,BV1rEF8eGEzU
心理学家：5种慢性压力正在改变你的大脑，早看早知道~,心理学家Tracey,BV1GzA8ezEft
【社交策略】这样建立和维护关系，别人不会把你摆在社交低位！｜ 特勤局女特工 审讯专家  Evy Poumpouras 中英字幕 1080P,硬派心学,BV176AweNEoa
【绝命毒师】炸鸡叔如何操控所有人？深度剖析他的心理战术！ 中英字幕 1080p,硬派心学,BV12bF6eLE3t
男性成长21 对异性不要示弱，舔狗不得house，通过了女性的废物测试，你就是一辈子的奴隶,戎震,BV1HVKGe5E3w
如果自媒体做不起来，就去做两个帐号,小姜又辞职了,BV1duPce8E3U
为什么黄毛性格的看上去性能力强 容易成功,蛇_Snake,BV1K5XRYqE7T
如何永远不被AI淘汰｜牛津AI哲学家,毕英杰-Johnathan,BV19NRNYjEWY
老老实实把牙齿刷干净吧,水果医生,BV1TW9dYVEv5
《毛选思维》90%的人失败，恰恰是因为太努力,老友说_,BV1FZKHeKESW
爱是看见自己的过程！,甜老师在笑,BV1Dn9AYeEcs
大冰：“朋友对你好，只是他人好”，不要过分高估，自己在朋友关系中的位置！,读行人生,BV1xN9pY7EXm
怎么穿看起来更有实力？3大要素在这里！,猴猴做大圣,BV1NbKseXEz7
深蹲腰酸改善的关键,运动科学,BV1evKAeMELd
改掉随便居中拍摄的习惯才有可能入门摄影,EAPHOTOACADEMY,BV19h9VYqEbZ
当AI牛马配上AI领导，性能一飞冲天,C哥聊科技,BV1DT9bYuEBm
“一个人成长的速度 取决于处理情绪的速度”,教父日记,BV1ERPEeXEnU
出国留学六年我才发现，西方文化是如何摧毁我们的下一代,陈清静东方传承者,BV1km9uYgEvH
诡辩术吗，做一个比坏人还强的人，而不是比坏人还坏的人,晚渡-刑辩版,BV1ns9BYUEwi
沉没成本多可怕？,令狐恋爱心理学,BV1zwA6eyEoP
最难戒的不是🚬🍷色，而是自我的认知，也不存在认知与行为的割裂，知行本合一，只是自我认识与良知的割裂,苏二郎牧羊,BV1hY9RY7EVk
谁家的爱跟🍄一样从天而降啊？😦,詹青云庞颖解忧摊,BV1ASPaeeEtn
夫妻俩科技业大厂辞职创业，从零到年入百万美金，他们是怎么做到的？,TikTok电商学长Ethan,BV1WsNZe6EJM
【点金直播】黄金化美债的真实意图/乌克兰交易推动战后经济？/中减持美债/ 巴菲特罕见持有大量现金/日本的默默创新/蒋落马/美卫生部长反疫苗20250223,点金小侯,BV1wnPVerEUe
高效幽默｜常见美式幽默公式,珍妮尔L,BV16kA6e7Es7
一口气讲完最被低估的4种补剂，你错过了多少？运动学博士的深度解析,北美运动学博士Bruce_PhD,BV1XNRAYBEsK
经过和弦怎么用？,键盘手77-朱茵琪,BV1dM9qY6Ear
现在的大学教育到底有多水？,取景框看世界,BV1vS9qYkEfC
AI 协助我省了15万元！,数字游牧人,BV18q9oYpEPM
换插座前必看，不然被家居博主的教程坑死！,哏工侃智能,BV1sp9gYjE8C
别以为转型做自媒体容易，AI时代自媒体都在转型,进击的沈帅波,BV1h39gY9E8G
加缪：花两年时间来想通一件事，其实并不算浪费时间。,七页读书,BV1hf9AYBES3
“现在才发现，易中天被请喝茶前的神预言，全是认真的！！！”,梦鱼_得鹿,BV1169TYTEaX
“回头再看易中天的访谈‘拼爹当然是传统’，才发现他的言辞真是犀利”,易中天讲堂,BV1GzXXYkEaZ
当把Deepseek接入AI外贸工具，阿里Accio颠覆跨境想象,赛文乔伊,BV1Fx97YtEEx
自律人生,坚定的戒色宣传,BV1ty9sYtEz6
👄❌ 面试大忌：不该说的别说！,华尔街小哥哥哈利火,BV1Zr9WY6EBh
你是不是不知道为什么自己每次画出来的好像是半成品？今天一边带女儿画背景，一边给你们讲的清清楚楚，明明白白，真真切切🙋,李口口_,BV1Kw9nYrEAr
全球最有钱的政府们是怎么投资的？,小Lin说,BV1K19FYDEiR
求求了别给我看简历了，兄弟们…,正儿八经的陈老师,BV1UA9oY1E7T
拉开同龄人差距的三个思维方式,城南同学聊成长,BV1ce9HYBE6g
准备越多心约虚，因为很多事情根本不用准备,西一昂叨叨版,BV11u9oYrEs2
你眼中的天才可以批量生产了？打破限制器的21分钟，关于普通人成才的一切,你的嘉威学长,BV1SD4ZeMELd
【直播切片】小鱼读评论——遇到问题要找好心人,理论派甜点师小鱼,BV1939AY6EnD
342k star 编程神级项目 开源免费 小白必备,程序员三千,BV1N89AYbEz2
公司终于迎来了黄金发展时期，一切都在朝着好的方向前进，我也终于实现了财富自由,小丑逆袭记,BV1dK9vYPEHa
【15集全】油管最好的雅思口语课 | 如何用英语思考？理解所有以英语为母语的人，建立你的英语大脑！,TED官方听力,BV1d7AYenEpB
真的头大｜我到底适合什么穿搭风格,山白的穿搭日志,BV1jPNzeGEe2
听这种音乐比较能装屄（27）· Progressive House,HEMRecords,BV1HqAKe9EsP
雄性领袖从不靠压制别人来证明自己,社长领袖心学,BV1zS9TYcEJK
摆烂太久如何恢复执行力？3招让你进入巅峰状态！,Cecily_Cao,BV1Md9gY9ECW
欧洲版OpenAI放大招！1100tok/s闪电回答，DeepSeek R1直接被碾压？,量子位Daily,BV11BN3e5Ewj
不办会员卡，你的身体 24 小时营业,探索自重训练的Ace,BV19FPPePEuZ
差异化竞争 玩点花活 才能一骑绝尘,陆姐教你谈恋爱,BV1ByPveeEiY
精力值决定一切,坚定的戒色宣传,BV1yWwDejEcn
23岁年入上亿，他凭什么？ ——对谈97年搞钱狂魔徐皓天,凯莉彭,BV1TeXdYkEjS
强烈建议：能丢脸就不要丢钱！我打算开始做自媒体了！,我是富贵同学啊,BV11s9GYXEmF
行知合一,社长领袖心学,BV1YY9wYqEhv
很厉害的人都有一个共性：专注力超强,小智君乐乐,BV1jEKMexEJS
怎么看待网络统计男方失业一年，女方提出离婚概率超80%,男性青年人报,BV1zvAReEEFn
Deepseek掀起开源风，普通人还有机会吗？,老麦的工具库,BV1kpXRYcEPs
珠三角、京津冀为何不如江浙沪? 数据撕开遮羞布,朱伟老师,BV1yU93Y7EEY
女人最喜欢的就是懂作弊的男人,是你的安佳佳呀,BV19oPWedErS
一张图了解技术发展进程,AI宋某人,BV1zMPjejEQ7
懂点儿细节，真能买到好衣服,十一讲服装,BV1G19MYXE5T
底层翻身,社长领袖心学,BV1BAXQY7Ejn
【直播切片】如何看待面包不加一滴水,理论派甜点师小鱼,BV1gn9AYvEAe
硅谷战神,不知名先生影视,BV127KTeKEFV
【刻平小招】加强版前刃倒滑 Hardway进弯❗️付费技巧大公开,极刻滑行_CarvinGeek,BV1kiNTeFEda
面料101讲｜杜邦纸到底是什么“纸”？,GGGinGin,BV1nNKKexE86
斯坦福黑客松太炸了，1000+天才36小时极限创作，沙雕实用作品火出圈,量子位Daily,BV12VP4eXE3H
【AE教程】Deepseek+AE=脚本自由！保姆级教程！,太阳鸽鸽棒,BV1yi9NYwE5m
教育改革改什么？,流口水的老鸡,BV1FtmyYJErP
如何玩笑式地调侃女孩 -  3个有效示例,-动力火炬-,BV1cFAbe7EgZ
如何建立系统化的个人成长方法论,与书籍度过漫长岁月,BV1kZ421M76w
嘴笨的人，反而更适合做销售,销售学习知识库,BV1189AYtE23
我们的快乐只能来自于on the way，在路上就是最终的结果和过程，送给找不到学习动力的我和你,医学老师刘忠保,BV1AsA3eTECR
赢家通吃,rstleon,BV1R2PHeREqx
如何戒撸？,坚定的戒色宣传,BV1DjAPebE3b
已失效视频,正儿八经的陈老师,BV1yvPve6Eei
已失效视频,正儿八经的陈老师,BV1MLP7ehExU
如何将潜在的实力变成现实的实力呢？＃百家讲坛,百家大讲坛,BV1UDAue6EXX
💯面试官问你Market News近期市场和新闻问题，怎么说出满分回答？？,华尔街小哥哥哈利火,BV1zPA6eVEGk
成大事者善于隐藏自己，在跌宕起伏的现实里，不懂人情世故的人往往路会走的异常坎坷。,懂十点人情世故,BV1cgN1eaEFD
越有匪气，你越爽,光谱解码,BV1tZKnejEFJ
【中英+文稿】如何在一周内完成大多数人12个月才能实现的目标,超级个体之路,BV1oRAJemEs7
熬夜刷屏停不下来？可视化思考模型破解报复性娱乐,王禹宸,BV1D7AfejEqn
遇到校园霸凌应该怎么解决|讲点大实话,学霸厂长,BV1w3A5eCE8Y
【中英双字】【神经科学家：只试一天！你不会后悔！2023年超级富豪的习惯】,AI科技空间,BV1wWKTeAEWz
最快能找到自己天赋的两个方法,耳月师兄,BV1i5Ake5EZQ
天真的男孩以为见一面就可以解决所有问题,记住周淮,BV1Kxc2eiEtZ
春招不能踩的坑，提前预警,求职土豆,BV1X5AKeBEsD
如果你暂时没找到工作，可以这样试一试,吶吶子,BV1cSNmeCEyU
新手直接抄他的代码就是最好的学习方法！ 这位GitHub大神用Pytorch实现了超级多深度学习模型！,cos算法工程师,BV1RrksYgEfV
爱恨痴缠，是纯纯的无用功（无法改变已然崩溃的感情）,硬核的HeyMatt,BV1ci421Y7qB
一个能让追求者彻底死心的词,峰video,BV1f54y1D7ED
她说出多少男生的感情观，感情都是骗人的！,张雪峰讲考研,BV1iu4m1K7hA
男人在感情中死心往往就在一瞬间😢,YouTube精选字幕组,BV1Q1cbeZExG
大学生最忠诚的舔狗Deep Seek,河右生,BV1hxKMeSEDH
一个邪门但能让你拥有恐怖执行力的顶级心法：摆烂式「只做一分钟」,栀子新知,BV1XSPMe5Edn
拿来即用！引导式沟通，不挖人祖坟！,就喜吃绿豆,BV1JiFfeWEHA
信息获取渠道大合集！,糊说八道之养成版,BV1dVNueXEnV
找份工作而已，别妄想干到退休,大果创业修心日记,BV1dYAzeeE5t
其实你只是嘴上想，心里是不想的。什么样的人会认为自己很努力，但是拿不到结果。只有两类人。怕努力后没收获后被笑话，说个扎心的真相…,是静静博士,BV1XkAreKEeg
（220）当我懒惰时，我如何使自己工作,YouTube深度访谈,BV1xHPMevEEa
北大光华毕业底薪只有4000的我,刘海峰高维战略,BV1MpfoYhE3A
但现在我是真的后悔写职业科普了,会飞的臻子喵,BV1cFPAeLEiu
百亿私募大佬但斌：绝大多数人会错失一个时代，即便雷声滚滚,东方财富,BV1woK5eXECg
男人迷住女性的13种操控策略！｜ 《操纵的艺术》作者Robert Greene 中英字幕 1080P,硬派心学,BV1B8KNeJE3w
黑格尔对康德的超越,纷纷红尘扰扰丶,BV1Wg2oYxEEf
康德犯下最大的错误是什么？,乐正垂星,BV1soBrY8Esz
1+1=2也能辩证地看？辩证法到底是什么意思,麦片庇护所,BV1a2421K7Wy
梵公子点评吃到满嘴流油朋友圈,梵公子-直播号,BV11tNTevEav
信息披露的秘密：什么？你的沉默也可能出卖你？,陈鹏宇老师,BV1xKFNe5EwN
警惕群体内部失序后出现的寻找“替罪羊”机制：模仿、欲望和暴力,向杨Alan君,BV1r2wfeYEhQ
【春节特辑】我永远爱追着别人道谢或道歉的人,中文系五匪子,BV1kAfBYaE1N
【心理】如何告别拖延内耗，收获富足性的生活？,万物深蓝,BV1DQKFefEZy
面试入场,王凌雁,BV1LzAae7E4W
“但凡我贪过一毛钱，头都不可能抬那么高！”,爱睡觉的_Koala,BV1iVP5eNE5F
天才少年项目，为什么我干了半年就逃离？,云栖AI,BV1o9Nae9EY2
你还没有进入你的生活呢你就别较劲思考人生的意义了！你要推开别人先进场好吗！,张尼德噗,BV1bMAaeBEE6
非语言交流对人际关系有多重要？——罗伯特·格林【中英双字】,YOU管精选思考,BV1usPWeUEt4
学历贬值的大环境下，我们要 / 不要继续向上卷 | 2025bilibili新国辩·高校组 初赛A组第三场 复旦大学vs东北师范大学,bilibili新国辩,BV1DacaeNEMn
AI 平权的时代来了 马昕彤用近20 分钟给你讲清楚 AI带来的变化#deepseek #马昕彤 #李一舟#AI,折扣牛马昕彤,BV18vPXeeEcb
deepseek已经进化成这样了？！,狒狒麻了,BV1YTAieRETY
宇树科技创始人王兴兴珍贵专访，顶级创业者的思维令人惊叹,大咖们的思维课,BV1GkA8eqEKY
当你迷茫的时候，不妨听听摸老师说的话...,玄览则难,BV14cAAeDE28
睡眠专家：休息的关键不在晚上，而是白天｜【初日会客室】哇赛心理学 蔡宇哲,COFIT-我的专属营养师,BV1SKNJeuEs3
AI失业潮是伪命题？经济学家不敢说的真相,读书的Harry,BV1QsAYe1EZ4
我们自己手搓了一个大学生求职神器！迅速帮你打破求职信息差！！,晓晨聊大学,BV16wPWeeECv
一种危险的思维方式,思想史万有引力,BV1qD421j7ab
青少年正在被异化,森动资本论,BV1mKxseTEUd
